Index: 279, Mean: 39.66865158081055, Std: 8678.203125
Index: 280, Mean: 39.72584915161133, Std: 8692.9150390625
Index: 281, Mean: 39.742984771728516, Std: 8696.064453125
Index: 282, Mean: 39.77642059326172, Std: 8703.951171875
Index: 283, Mean: 39.713775634765625, Std: 8688.7197265625
Index: 284, Mean: 39.73777389526367, Std: 8694.7158203125
Index: 285, Mean: 39.68559265136719, Std: 8680.7890625
Index: 286, Mean: 39.65331268310547, Std: 8671.9033203125
Index: 287, Mean: 39.655574798583984, Std: 8672.2578125
Index: 288, Mean: 39.66766357421875, Std: 8674.4091796875
Index: 289, Mean: 39.69358825683594, Std: 8680.7548828125
Index: 290, Mean: 39.651885986328125, Std: 8669.2548828125
Index: 291, Mean: 39.79960632324219, Std: 8706.8505859375
Index: 292, Mean: 39.79576873779297, Std: 8704.1201171875
Index: 293, Mean: 39.782325744628906, Std: 8700.263671875
Index: 294, Mean: 39.76747131347656, Std: 8697.392578125
Index: 295, Mean: 39.833553314208984, Std: 8713.5791015625
Index: 296, Mean: 39.800533294677734, Std: 8705.0400390625
Index: 297, Mean: 39.790611267089844, Std: 8702.7392578125
Index: 298, Mean: 39.784706115722656, Std: 8701.2705078125
Index: 299, Mean: 39.81772994995117, Std: 8711.0947265625
Index: 300, Mean: 39.7838134765625, Std: 8702.3671875
Index: 301, Mean: 39.789695739746094, Std: 8703.203125
Index: 302, Mean: 39.77939987182617, Std: 8699.7314453125
Index: 303, Mean: 39.777400970458984, Std: 8698.8427734375
Index: 304, Mean: 39.77158737182617, Std: 8696.416015625
Index: 305, Mean: 39.79642105102539, Std: 8702.62890625
Index: 306, Mean: 39.760162353515625, Std: 8693.44140625
Index: 307, Mean: 39.77907943725586, Std: 8698.298828125
Index: 308, Mean: 39.77383804321289, Std: 8696.83203125
Index: 309, Mean: 39.77383041381836, Std: 8696.9130859375
Index: 310, Mean: 39.739593505859375, Std: 8688.8701171875
Index: 311, Mean: 39.74573516845703, Std: 8690.859375
Index: 312, Mean: 39.787017822265625, Std: 8700.8955078125
Index: 313, Mean: 39.81464767456055, Std: 8707.4384765625
